nohup: ignoring input
WARNING:root:No sentence-transformers model found with name /data/transformers/bert-base-uncased. Creating a new one with MEAN pooling.
Some weights of the model checkpoint at /data/transformers/bert-base-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Add 2 special tokens
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.

Trian : | Epoch [  1/ 10] Iter[ 68/3645]	 CE-loss: 0.3837
Trian : | Epoch [  1/ 10] Iter[ 69/3645]	 CE-loss: 0.3817
Trian : | Epoch [  1/ 10] Iter[ 70/3645]	 CE-loss: 0.3806
Trian : | Epoch [  1/ 10] Iter[ 71/3645]	 CE-loss: 0.3823
Trian : | Epoch [  1/ 10] Iter[ 72/3645]	 CE-loss: 0.3812
Trian : | Epoch [  1/ 10] Iter[ 73/3645]	 CE-loss: 0.3814
Trian : | Epoch [  1/ 10] Iter[ 74/3645]	 CE-loss: 0.3809
Trian : | Epoch [  1/ 10] Iter[ 75/3645]	 CE-loss: 0.3813
Trian : | Epoch [  1/ 10] Iter[ 76/3645]	 CE-loss: 0.3790
Trian : | Epoch [  1/ 10] Iter[ 77/3645]	 CE-loss: 0.3787
Trian : | Epoch [  1/ 10] Iter[ 78/3645]	 CE-loss: 0.3784
Trian : | Epoch [  1/ 10] Iter[ 79/3645]	 CE-loss: 0.3764
Trian : | Epoch [  1/ 10] Iter[ 80/3645]	 CE-loss: 0.3754
Trian : | Epoch [  1/ 10] Iter[ 81/3645]	 CE-loss: 0.3751
Trian : | Epoch [  1/ 10] Iter[ 82/3645]	 CE-loss: 0.3737
Trian : | Epoch [  1/ 10] Iter[ 83/3645]	 CE-loss: 0.3720
Trian : | Epoch [  1/ 10] Iter[ 84/3645]	 CE-loss: 0.3707
Trian : | Epoch [  1/ 10] Iter[ 85/3645]	 CE-loss: 0.3698
Trian : | Epoch [  1/ 10] Iter[ 86/3645]	 CE-loss: 0.3715
Trian : | Epoch [  1/ 10] Iter[ 87/3645]	 CE-loss: 0.3699
Trian : | Epoch [  1/ 10] Iter[ 88/3645]	 CE-loss: 0.3683
Trian : | Epoch [  1/ 10] Iter[ 89/3645]	 CE-loss: 0.3704
Trian : | Epoch [  1/ 10] Iter[ 90/3645]	 CE-loss: 0.3716
Trian : | Epoch [  1/ 10] Iter[ 91/3645]	 CE-loss: 0.3701
Trian : | Epoch [  1/ 10] Iter[ 92/3645]	 CE-loss: 0.3700
Trian : | Epoch [  1/ 10] Iter[ 93/3645]	 CE-loss: 0.3704
Trian : | Epoch [  1/ 10] Iter[ 94/3645]	 CE-loss: 0.3690
Trian : | Epoch [  1/ 10] Iter[ 95/3645]	 CE-loss: 0.3679
Trian : | Epoch [  1/ 10] Iter[ 96/3645]	 CE-loss: 0.3663
Trian : | Epoch [  1/ 10] Iter[ 97/3645]	 CE-loss: 0.3668
Trian : | Epoch [  1/ 10] Iter[ 98/3645]	 CE-loss: 0.3669
Trian : | Epoch [  1/ 10] Iter[ 99/3645]	 CE-loss: 0.3649
Trian : | Epoch [  1/ 10] Iter[100/3645]	 CE-loss: 0.3656
Trian : | Epoch [  1/ 10] Iter[101/3645]	 CE-loss: 0.3658
Trian : | Epoch [  1/ 10] Iter[102/3645]	 CE-loss: 0.3674
Trian : | Epoch [  1/ 10] Iter[103/3645]	 CE-loss: 0.3665
Trian : | Epoch [  1/ 10] Iter[104/3645]	 CE-loss: 0.3658
Trian : | Epoch [  1/ 10] Iter[105/3645]	 CE-loss: 0.3656
Trian : | Epoch [  1/ 10] Iter[106/3645]	 CE-loss: 0.3659
Trian : | Epoch [  1/ 10] Iter[107/3645]	 CE-loss: 0.3664
Trian : | Epoch [  1/ 10] Iter[108/3645]	 CE-loss: 0.3650
Trian : | Epoch [  1/ 10] Iter[109/3645]	 CE-loss: 0.3650
Trian : | Epoch [  1/ 10] Iter[110/3645]	 CE-loss: 0.3662
Trian : | Epoch [  1/ 10] Iter[111/3645]	 CE-loss: 0.3651
Trian : | Epoch [  1/ 10] Iter[112/3645]	 CE-loss: 0.3649
Trian : | Epoch [  1/ 10] Iter[113/3645]	 CE-loss: 0.3660
Trian : | Epoch [  1/ 10] Iter[114/3645]	 CE-loss: 0.3654
Trian : | Epoch [  1/ 10] Iter[115/3645]	 CE-loss: 0.3642
Trian : | Epoch [  1/ 10] Iter[116/3645]	 CE-loss: 0.3627
Trian : | Epoch [  1/ 10] Iter[117/3645]	 CE-loss: 0.3638
Trian : | Epoch [  1/ 10] Iter[118/3645]	 CE-loss: 0.3627
Trian : | Epoch [  1/ 10] Iter[119/3645]	 CE-loss: 0.3615
Trian : | Epoch [  1/ 10] Iter[120/3645]	 CE-loss: 0.3595
Trian : | Epoch [  1/ 10] Iter[121/3645]	 CE-loss: 0.3595
Trian : | Epoch [  1/ 10] Iter[122/3645]	 CE-loss: 0.3608
Trian : | Epoch [  1/ 10] Iter[123/3645]	 CE-loss: 0.3605
Trian : | Epoch [  1/ 10] Iter[124/3645]	 CE-loss: 0.3607
Trian : | Epoch [  1/ 10] Iter[125/3645]	 CE-loss: 0.3621
Trian : | Epoch [  1/ 10] Iter[126/3645]	 CE-loss: 0.3610
Trian : | Epoch [  1/ 10] Iter[127/3645]	 CE-loss: 0.3598
Trian : | Epoch [  1/ 10] Iter[128/3645]	 CE-loss: 0.3601
Trian : | Epoch [  1/ 10] Iter[129/3645]	 CE-loss: 0.3605
Trian : | Epoch [  1/ 10] Iter[130/3645]	 CE-loss: 0.3597
Trian : | Epoch [  1/ 10] Iter[131/3645]	 CE-loss: 0.3594
Trian : | Epoch [  1/ 10] Iter[132/3645]	 CE-loss: 0.3601
Trian : | Epoch [  1/ 10] Iter[133/3645]	 CE-loss: 0.3608
Trian : | Epoch [  1/ 10] Iter[134/3645]	 CE-loss: 0.3607
Trian : | Epoch [  1/ 10] Iter[135/3645]	 CE-loss: 0.3606
Trian : | Epoch [  1/ 10] Iter[136/3645]	 CE-loss: 0.3592
Trian : | Epoch [  1/ 10] Iter[137/3645]	 CE-loss: 0.3595
Trian : | Epoch [  1/ 10] Iter[138/3645]	 CE-loss: 0.3594
Trian : | Epoch [  1/ 10] Iter[139/3645]	 CE-loss: 0.3592
Trian : | Epoch [  1/ 10] Iter[140/3645]	 CE-loss: 0.3592
Trian : | Epoch [  1/ 10] Iter[141/3645]	 CE-loss: 0.3586
Trian : | Epoch [  1/ 10] Iter[142/3645]	 CE-loss: 0.3577
Trian : | Epoch [  1/ 10] Iter[143/3645]	 CE-loss: 0.3579
Trian : | Epoch [  1/ 10] Iter[144/3645]	 CE-loss: 0.3570
Trian : | Epoch [  1/ 10] Iter[145/3645]	 CE-loss: 0.3558
Trian : | Epoch [  1/ 10] Iter[146/3645]	 CE-loss: 0.3555
Trian : | Epoch [  1/ 10] Iter[147/3645]	 CE-loss: 0.3548
Trian : | Epoch [  1/ 10] Iter[148/3645]	 CE-loss: 0.3546
Trian : | Epoch [  1/ 10] Iter[149/3645]	 CE-loss: 0.3539
Trian : | Epoch [  1/ 10] Iter[150/3645]	 CE-loss: 0.3532
Trian : | Epoch [  1/ 10] Iter[151/3645]	 CE-loss: 0.3524
Trian : | Epoch [  1/ 10] Iter[152/3645]	 CE-loss: 0.3525
Trian : | Epoch [  1/ 10] Iter[153/3645]	 CE-loss: 0.3537
Trian : | Epoch [  1/ 10] Iter[154/3645]	 CE-loss: 0.3540
Trian : | Epoch [  1/ 10] Iter[155/3645]	 CE-loss: 0.3539
Trian : | Epoch [  1/ 10] Iter[156/3645]	 CE-loss: 0.3531
Trian : | Epoch [  1/ 10] Iter[157/3645]	 CE-loss: 0.3535
Trian : | Epoch [  1/ 10] Iter[158/3645]	 CE-loss: 0.3529
Trian : | Epoch [  1/ 10] Iter[159/3645]	 CE-loss: 0.3529
Trian : | Epoch [  1/ 10] Iter[160/3645]	 CE-loss: 0.3524
Trian : | Epoch [  1/ 10] Iter[161/3645]	 CE-loss: 0.3525
Trian : | Epoch [  1/ 10] Iter[162/3645]	 CE-loss: 0.3525
Trian : | Epoch [  1/ 10] Iter[163/3645]	 CE-loss: 0.3523
Trian : | Epoch [  1/ 10] Iter[164/3645]	 CE-loss: 0.3531
Trian : | Epoch [  1/ 10] Iter[165/3645]	 CE-loss: 0.3526
Trian : | Epoch [  1/ 10] Iter[166/3645]	 CE-loss: 0.3521
Trian : | Epoch [  1/ 10] Iter[167/3645]	 CE-loss: 0.3520
Trian : | Epoch [  1/ 10] Iter[168/3645]	 CE-loss: 0.3510
Trian : | Epoch [  1/ 10] Iter[169/3645]	 CE-loss: 0.3497
Trian : | Epoch [  1/ 10] Iter[170/3645]	 CE-loss: 0.3497
Trian : | Epoch [  1/ 10] Iter[171/3645]	 CE-loss: 0.3489
Trian : | Epoch [  1/ 10] Iter[172/3645]	 CE-loss: 0.3482
Trian : | Epoch [  1/ 10] Iter[173/3645]	 CE-loss: 0.3480
Trian : | Epoch [  1/ 10] Iter[174/3645]	 CE-loss: 0.3475
Trian : | Epoch [  1/ 10] Iter[175/3645]	 CE-loss: 0.3471
Trian : | Epoch [  1/ 10] Iter[176/3645]	 CE-loss: 0.3472
Trian : | Epoch [  1/ 10] Iter[177/3645]	 CE-loss: 0.3457
Trian : | Epoch [  1/ 10] Iter[178/3645]	 CE-loss: 0.3452
Trian : | Epoch [  1/ 10] Iter[179/3645]	 CE-loss: 0.3444
Trian : | Epoch [  1/ 10] Iter[180/3645]	 CE-loss: 0.3443
Trian : | Epoch [  1/ 10] Iter[181/3645]	 CE-loss: 0.3455
Trian : | Epoch [  1/ 10] Iter[182/3645]	 CE-loss: 0.3457
Trian : | Epoch [  1/ 10] Iter[183/3645]	 CE-loss: 0.3452
Trian : | Epoch [  1/ 10] Iter[184/3645]	 CE-loss: 0.3440
Trian : | Epoch [  1/ 10] Iter[185/3645]	 CE-loss: 0.3446
Trian : | Epoch [  1/ 10] Iter[186/3645]	 CE-loss: 0.3438
Trian : | Epoch [  1/ 10] Iter[187/3645]	 CE-loss: 0.3443
Trian : | Epoch [  1/ 10] Iter[188/3645]	 CE-loss: 0.3444
Trian : | Epoch [  1/ 10] Iter[189/3645]	 CE-loss: 0.3444
Trian : | Epoch [  1/ 10] Iter[190/3645]	 CE-loss: 0.3434
Trian : | Epoch [  1/ 10] Iter[191/3645]	 CE-loss: 0.3434
Trian : | Epoch [  1/ 10] Iter[192/3645]	 CE-loss: 0.3431
Trian : | Epoch [  1/ 10] Iter[193/3645]	 CE-loss: 0.3436
Trian : | Epoch [  1/ 10] Iter[194/3645]	 CE-loss: 0.3439
Trian : | Epoch [  1/ 10] Iter[195/3645]	 CE-loss: 0.3438
Trian : | Epoch [  1/ 10] Iter[196/3645]	 CE-loss: 0.3436
Trian : | Epoch [  1/ 10] Iter[197/3645]	 CE-loss: 0.3430
Trian : | Epoch [  1/ 10] Iter[198/3645]	 CE-loss: 0.3432
Trian : | Epoch [  1/ 10] Iter[199/3645]	 CE-loss: 0.3424
Trian : | Epoch [  1/ 10] Iter[200/3645]	 CE-loss: 0.3418
Trian : | Epoch [  1/ 10] Iter[201/3645]	 CE-loss: 0.3424
Trian : | Epoch [  1/ 10] Iter[202/3645]	 CE-loss: 0.3419
Trian : | Epoch [  1/ 10] Iter[203/3645]	 CE-loss: 0.3415
Trian : | Epoch [  1/ 10] Iter[204/3645]	 CE-loss: 0.3410
Trian : | Epoch [  1/ 10] Iter[205/3645]	 CE-loss: 0.3413
Trian : | Epoch [  1/ 10] Iter[206/3645]	 CE-loss: 0.3404
Trian : | Epoch [  1/ 10] Iter[207/3645]	 CE-loss: 0.3405
Trian : | Epoch [  1/ 10] Iter[208/3645]	 CE-loss: 0.3406
Trian : | Epoch [  1/ 10] Iter[209/3645]	 CE-loss: 0.3415
Trian : | Epoch [  1/ 10] Iter[210/3645]	 CE-loss: 0.3411
Trian : | Epoch [  1/ 10] Iter[211/3645]	 CE-loss: 0.3415
Trian : | Epoch [  1/ 10] Iter[212/3645]	 CE-loss: 0.3412
Trian : | Epoch [  1/ 10] Iter[213/3645]	 CE-loss: 0.3413
Trian : | Epoch [  1/ 10] Iter[214/3645]	 CE-loss: 0.3407
Trian : | Epoch [  1/ 10] Iter[215/3645]	 CE-loss: 0.3407
Trian : | Epoch [  1/ 10] Iter[216/3645]	 CE-loss: 0.3402
Trian : | Epoch [  1/ 10] Iter[217/3645]	 CE-loss: 0.3394
Trian : | Epoch [  1/ 10] Iter[218/3645]	 CE-loss: 0.3397
Trian : | Epoch [  1/ 10] Iter[219/3645]	 CE-loss: 0.3392
Trian : | Epoch [  1/ 10] Iter[220/3645]	 CE-loss: 0.3394
Trian : | Epoch [  1/ 10] Iter[221/3645]	 CE-loss: 0.3392
Trian : | Epoch [  1/ 10] Iter[222/3645]	 CE-loss: 0.3401
Trian : | Epoch [  1/ 10] Iter[223/3645]	 CE-loss: 0.3398
Trian : | Epoch [  1/ 10] Iter[224/3645]	 CE-loss: 0.3398
Trian : | Epoch [  1/ 10] Iter[225/3645]	 CE-loss: 0.3395
Trian : | Epoch [  1/ 10] Iter[226/3645]	 CE-loss: 0.3395
Trian : | Epoch [  1/ 10] Iter[227/3645]	 CE-loss: 0.3395
Trian : | Epoch [  1/ 10] Iter[228/3645]	 CE-loss: 0.3396
Trian : | Epoch [  1/ 10] Iter[229/3645]	 CE-loss: 0.3393
Trian : | Epoch [  1/ 10] Iter[230/3645]	 CE-loss: 0.3387
Trian : | Epoch [  1/ 10] Iter[231/3645]	 CE-loss: 0.3381
Trian : | Epoch [  1/ 10] Iter[232/3645]	 CE-loss: 0.3377
Trian : | Epoch [  1/ 10] Iter[233/3645]	 CE-loss: 0.3371
Trian : | Epoch [  1/ 10] Iter[234/3645]	 CE-loss: 0.3367
Trian : | Epoch [  1/ 10] Iter[235/3645]	 CE-loss: 0.3363
Trian : | Epoch [  1/ 10] Iter[236/3645]	 CE-loss: 0.3360
Trian : | Epoch [  1/ 10] Iter[237/3645]	 CE-loss: 0.3364
Trian : | Epoch [  1/ 10] Iter[238/3645]	 CE-loss: 0.3366
Trian : | Epoch [  1/ 10] Iter[239/3645]	 CE-loss: 0.3367
Trian : | Epoch [  1/ 10] Iter[240/3645]	 CE-loss: 0.3368
Trian : | Epoch [  1/ 10] Iter[241/3645]	 CE-loss: 0.3369
Trian : | Epoch [  1/ 10] Iter[242/3645]	 CE-loss: 0.3369
Trian : | Epoch [  1/ 10] Iter[243/3645]	 CE-loss: 0.3361
Trian : | Epoch [  1/ 10] Iter[244/3645]	 CE-loss: 0.3360
Trian : | Epoch [  1/ 10] Iter[245/3645]	 CE-loss: 0.3362
Trian : | Epoch [  1/ 10] Iter[246/3645]	 CE-loss: 0.3358
